ID_ENTIDAD,ENTIDAD,ID_DISTRITO_FEDERAL,DISTRITO_FEDERAL,SECCION,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRD,PAN_PRI,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CANDIDATO/A NO REGISTRADO/A,VOTOS NULOS,TOTAL_VOTOS_CALCULADOS,LISTA_NOMINAL,PAN_PERCENTAGE,PRI_PERCENTAGE,PRD_PERCENTAGE,PVEM_PERCENTAGE,PT_PERCENTAGE,MC_PERCENTAGE,MORENA_PERCENTAGE,PAN_PRI_PRD_PERCENTAGE,PAN_PRD_PERCENTAGE,PAN_PRI_PERCENTAGE,PRI_PRD_PERCENTAGE,PVEM_PT_MORENA_PERCENTAGE,PVEM_PT_PERCENTAGE,PVEM_MORENA_PERCENTAGE,PT_MORENA_PERCENTAGE,CANDIDATO/A NO REGISTRADO/A_PERCENTAGE,VOTOS NULOS_PERCENTAGE,PARTICIPATION_PERCENTAGE
9,CIUDAD DE MÉXICO,1.0,GUSTAVO A. MADERO,821,63,46,14,49,70,138,1064,7,0,5,0,130,7,24,29,2,36,1684,2719,3.7410926365795723,2.7315914489311166,0.831353919239905,2.9097387173396676,4.156769596199525,8.194774346793348,63.18289786223278,0.4156769596199525,0.0,0.29691211401425177,0.0,7.719714964370546,0.4156769596199525,1.4251781472684086,1.72209026128266,0.11876484560570072,2.137767220902613,61.934534755424785
9,CIUDAD DE MÉXICO,1.0,GUSTAVO A. MADERO,822,78,32,10,60,75,85,852,10,0,3,0,105,10,22,17,4,31,1394,2376,5.5954088952654235,2.295552367288379,0.7173601147776184,4.304160688665711,5.380200860832137,6.097560975609756,61.11908177905308,0.7173601147776184,0.0,0.2152080344332855,0.0,7.532281205164992,0.7173601147776184,1.5781922525107603,1.2195121951219512,0.2869440459110474,2.223816355810617,58.670033670033675
9,CIUDAD DE MÉXICO,1.0,GUSTAVO A. MADERO,823,63,36,7,59,76,100,973,9,0,2,0,99,5,12,21,0,26,1488,2233,4.233870967741935,2.4193548387096775,0.47043010752688175,3.96505376344086,5.10752688172043,6.720430107526881,65.38978494623656,0.6048387096774194,0.0,0.13440860215053765,0.0,6.653225806451612,0.33602150537634407,0.8064516129032258,1.411290322580645,0.0,1.747311827956989,66.63681146439767
9,CIUDAD DE MÉXICO,1.0,GUSTAVO A. MADERO,824,87,39,14,55,65,120,1078,12,1,4,1,86,13,14,20,2,26,1637,2666,5.31459987782529,2.3824068417837507,0.8552229688454489,3.3598045204642637,3.9706780696395847,7.330482590103848,65.85216860109956,0.7330482590103848,0.061087354917532075,0.2443494196701283,0.061087354917532075,5.253512522907758,0.794135613927917,0.8552229688454489,1.2217470983506415,0.12217470983506415,1.588271227855834,61.40285071267817
9,CIUDAD DE MÉXICO,1.0,GUSTAVO A. MADERO,825,65,26,11,37,55,71,718,13,0,3,0,55,9,16,16,0,17,1112,1603,5.845323741007194,2.338129496402878,0.9892086330935251,3.327338129496403,4.946043165467626,6.384892086330936,64.568345323741,1.169064748201439,0.0,0.2697841726618705,0.0,4.946043165467626,0.8093525179856115,1.4388489208633095,1.4388489208633095,0.0,1.5287769784172662,69.369931378665
9,CIUDAD DE MÉXICO,1.0,GUSTAVO A. MADERO,826,56,36,13,56,46,73,606,3,0,2,0,60,3,13,12,0,24,1003,1586,5.583250249252243,3.589232303090728,1.296111665004985,5.583250249252243,4.586241276171486,7.2781655034895305,60.418743768693915,0.29910269192422734,0.0,0.19940179461615154,0.0,5.982053838484546,0.29910269192422734,1.296111665004985,1.1964107676969093,0.0,2.3928215353938187,63.24085750315258
9,CIUDAD DE MÉXICO,1.0,GUSTAVO A. MADERO,827,114,67,20,93,92,180,1562,20,1,2,2,147,15,41,33,0,50,2439,3901,4.674046740467404,2.747027470274703,0.8200082000820008,3.8130381303813037,3.772037720377204,7.380073800738007,64.04264042640426,0.8200082000820008,0.04100041000410004,0.08200082000820008,0.08200082000820008,6.027060270602706,0.6150061500615006,1.6810168101681018,1.3530135301353015,0.0,2.050020500205002,62.52243014611638
9,CIUDAD DE MÉXICO,1.0,GUSTAVO A. MADERO,828,48,33,11,51,48,88,692,4,1,6,0,84,4,13,7,3,23,1116,1738,4.301075268817205,2.956989247311828,0.985663082437276,4.56989247311828,4.301075268817205,7.885304659498208,62.00716845878136,0.35842293906810035,0.08960573476702509,0.5376344086021506,0.0,7.526881720430108,0.35842293906810035,1.1648745519713262,0.6272401433691757,0.2688172043010753,2.0609318996415773,64.21173762945915
9,CIUDAD DE MÉXICO,1.0,GUSTAVO A. MADERO,829,55,38,14,36,51,76,595,7,2,3,1,77,6,14,15,0,22,1012,1521,5.434782608695652,3.7549407114624502,1.383399209486166,3.557312252964427,5.0395256916996045,7.5098814229249005,58.79446640316206,0.691699604743083,0.1976284584980237,0.2964426877470355,0.09881422924901186,7.608695652173914,0.592885375494071,1.383399209486166,1.4822134387351777,0.0,2.1739130434782608,66.53517422748192
9,CIUDAD DE MÉXICO,1.0,GUSTAVO A. MADERO,830,57,41,16,38,65,116,802,7,0,4,0,82,3,20,18,2,27,1298,1946,4.391371340523883,3.1587057010785826,1.2326656394453006,2.9275808936825887,5.007704160246533,8.936825885978427,61.78736517719569,0.539291217257319,0.0,0.30816640986132515,0.0,6.317411402157165,0.23112480739599386,1.5408320493066257,1.386748844375963,0.15408320493066258,2.0801232665639446,66.70092497430626
